name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Suzuki SX4,2008.0,15990.0,PLN,192007.0,Benzyna,1586.0,Białogard,https://www.otomoto.pl/oferta/suzuki-sx4-1-6-benz-107-km-perlowy-klimatronik-key-less-alu-halogeny-bezwypadkowy-ID6DxsbC.html#fdd6a95284
Chevrolet Cruze,2011.0,23900.0,PLN,166000.0,Benzyna,1796.0,Radom,https://www.otomoto.pl/oferta/chevrolet-cruze-1-8i-141km-klimatyzacja-tempomat-parktronic-serwis-oplacony-ID6DCiDh.html#fdd6a95284
Mercedes-Benz W123,1983.0,24000.0,PLN,390000.0,Benzyna,1997.0,Raszyn,https://www.otomoto.pl/oferta/mercedes-benz-w123-kultowa-beczka-w123-200-benzyna-automat-ID6DuThJ.html#fdd6a95284
Volkswagen Jetta 1.6,2006.0,15500.0,PLN,226328.0,Benzyna,1595.0,Grudziądz,https://www.otomoto.pl/oferta/volkswagen-jetta-vw-jetta-bdb-stanie-po-oplatach-ID6DxT9C.html#fdd6a95284
Mercedes-Benz W124 (1984-1993),1990.0,24900.0,PLN,312600.0,Benzyna,3000.0,Kiekrz,https://www.otomoto.pl/oferta/mercedes-benz-w124-1984-1993-mercedes-300e-4-matic-wyjatkowy-stan-unikatowe-wyposazenie-ID6C4KTQ.html#fdd6a95284
Citroën C5 2.0,2012.0,28000.0,PLN,246723.0,Diesel,1997.0,Sosnowiec,https://www.otomoto.pl/oferta/citroen-c5-citroen-c5-2-0-hdi-163-km-exclusive-polski-salon-2-wlasciciel-ID6Dzohd.html#fdd6a95284
BMW Seria 5 525d,2005.0,18500.0,PLN,367000.0,Diesel,2497.0,Sandomierz,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-204-konie-ID6DCjk8.html#fdd6a95284
BMW Seria 5 525i,2008.0,28500.0,PLN,245000.0,Benzyna,2996.0,Warszawa,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-525i-3l-218hp-2008rok-lift-ID6DBpeQ.html#fdd6a95284
Mercedes-Benz Klasa C,2008.0,29900.0,PLN,192300.0,Benzyna,1796.0,Witkowo,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-z-niemiec-oplacony-navi-parktronik-ladny-stan-ID6DzojL.html#fdd6a95284
BMW Seria 5 530d,2005.0,29900.0,PLN,311000.0,Diesel,2993.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/bmw-seria-5-3-0d-231ps-duza-nawi-xenon-sporty-fotele-m-pakiet-czarna-x-drive-ID6DBTvV.html#fdd6a95284
Subaru Legacy,2005.0,15700.0,PLN,194200.0,Benzyna+LPG,1994.0,Starachowice,https://www.otomoto.pl/oferta/subaru-legacy-2-0-165km-lpg-zadbany-bezwypadkowy-bilstein-wydech-don-silencioso-ID6Dy3eL.html#fdd6a95284
BMW Seria 3 320i,2009.0,26900.0,PLN,230000.0,Benzyna,1995.0,Łask,https://www.otomoto.pl/oferta/bmw-seria-3-320i-173km-navi-professional-chrom-oryginal-lakier-bezwypadkow-sliczny-ID6DzdAA.html#fdd6a95284
Audi A4 Avant,2007.0,22800.0,PLN,210000.0,Benzyna,1984.0,Łask,https://www.otomoto.pl/oferta/audi-a4-2-0b-131km-navi-dvd-chromy-alufelgi-s-line-bezwypadkowy-superstan-ID6DzhdS.html#fdd6a95284
BMW Seria 3 318i,2009.0,24900.0,PLN,199000.0,Benzyna,1995.0,Stargard Szczeciński,https://www.otomoto.pl/oferta/bmw-seria-3-lift-szyberdach-klimatronik-podgrzewane-fotele-czujniki-parkowania-ID6DCiVZ.html#fdd6a95284
Kia Magentis 2.0,2009.0,17700.0,PLN,161000.0,Diesel,1991.0,Wrocław,https://www.otomoto.pl/oferta/kia-magentis-faktura-vat-23-ID6Dyatw.html#fdd6a95284
Honda Accord,2004.0,16500.0,PLN,250000.0,Benzyna+LPG,2358.0,Maciejowice,https://www.otomoto.pl/oferta/honda-accord-honda-accord-typ-s-ID6DCiGx.html#fdd6a95284
