name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
BMW Seria 3 318i,2005.0,18400.0,PLN,249000.0,Benzyna,1995.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/bmw-seria-3-2-0-benzyna-alu-navi-dvd-tempomat-parktronik-serwis-oplacony-1wl-ID6DAUVS.html#a77f01051c
Mercedes-Benz Klasa C,2005.0,17900.0,PLN,318400.0,Benzyna,1796.0,Komorniki,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-lift-bezwypadkowy-ID6DANmW.html#a77f01051c
Mini ONE,2013.0,23900.0,PLN,101000.0,Benzyna,1598.0,Józefosław,https://www.otomoto.pl/oferta/mini-one-mini-one-500-km-po-pelnej-inspekcji-w-bmw-perfekt-stan-techniczny-ID6DAU3c.html#a77f01051c
BMW Seria 3 320i,2008.0,20900.0,PLN,181360.0,Benzyna,1995.0,Bolesławiec,https://www.otomoto.pl/oferta/bmw-seria-3-polift-bi-xenon-170ps-benzyna-czarny-sufit-ID6DATIg.html#a77f01051c
Volkswagen Passat 2.0,2005.0,17000.0,PLN,263000.0,Benzyna,1984.0,Toruń,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-2-0-fsi-turbo-ID6DATFM.html#a77f01051c
Chevrolet Aveo 1.4,2012.0,18900.0,PLN,171285.0,Benzyna,1398.0,Złotniki,https://www.otomoto.pl/oferta/chevrolet-aveo-1-4i-100km-lt-salon-polska-serwis-aso-klimatyzacja-zestaw-bluetootch-ID6DuEV5.html#a77f01051c
Chevrolet Cruze,2010.0,20900.0,PLN,83898.0,Benzyna,1598.0,Warszawa,https://www.otomoto.pl/oferta/chevrolet-cruze-darmowa-dostawa-klima-hist-serwisowa-kierownica-wielofunkcyjna-ID6DzkNb.html#a77f01051c
Chevrolet Cruze,2013.0,24400.0,PLN,79415.0,Benzyna,1598.0,Warszawa,https://www.otomoto.pl/oferta/chevrolet-cruze-darmowa-dostawa-klima-auto-serwis-aso-kierownica-wielofunkcyjna-ID6DzkLk.html#a77f01051c
Škoda Superb,2008.0,16900.0,PLN,249684.0,Benzyna+LPG,1984.0,Debrzno,https://www.otomoto.pl/oferta/skoda-superb-mega-stan-2-0mpi-lpg-wypasiona-serwisoplacona-ID6DAS5d.html#a77f01051c
Audi S6 4.2,2001.0,22900.0,PLN,341579.0,Benzyna,4172.0,Bydgoszcz,https://www.otomoto.pl/oferta/audi-s6-audi-s6-ID6DARw0.html#a77f01051c
Audi A4 Avant,2006.0,18900.0,PLN,181212.0,Benzyna,1595.0,Świątniki,https://www.otomoto.pl/oferta/audi-a4-1-6mpi-102-km-oplacony-klimatronic-alu-tempomat-parktronik-chromy-ID6DzABA.html#a77f01051c
